(0.0, 0.0, 1.0)
(1.0, 0.5, 2.0)
(2.5, 1.0, 3.0)
(4.0, 2.5, 4.0)
(5.0, 4.5, 5.5)
(5.5, 6.5, 7.0)
(6.0, 8.5, 8.5)
(7.5, 10.0, 10.0)
(9.5, 10.5, 11.5)
(11.5, 12.0, 13.0)
(14.0, 14.0, 14.5)
(17.5, 16.5, 16.0)
(22.5, 19.0, 17.5)
(28.5, 21.0, 19.0)
(36.0, 22.0, 20.5)
(44.0, 22.5, 22.0)
(52.0, 25.0, 23.5)
(59.0, 30.0, 25.0)
(64.0, 37.0, 26.5)
(67.0, 46.0, 28.0)
(69.5, 56.0, 29.5)
(74.0, 66.5, 31.0)
(80.0, 76.5, 32.5)
(87.0, 85.0, 34.0)
(94.0, 91.5, 36.0)
(100.0, 96.0, 38.0)
(105.0, 98.0, 40.0)
(108.5, 99.5, 42.0)
(111.0, 102.0, 44.0)
(112.5, 105.0, 46.0)
(113.0, 108.0, 48.5)
(113.5, 110.5, 51.0)
(114.0, 113.0, 53.5)
(115.0, 115.0, 56.0)
(116.0, 115.5, 58.5)
(118.5, 116.5, 61.0)
(121.0, 117.5, 63.5)
(124.5, 119.5, 66.0)
(129.0, 121.5, 68.0)
(135.0, 123.5, 70.0)
(142.0, 124.5, 72.0)
(149.5, 126.5, 74.0)
(157.0, 131.0, 76.0)
(164.0, 137.5, 78.5)
(169.5, 146.0, 81.0)
(173.0, 155.5, 83.5)
(174.0, 166.0, 86.0)
(175.5, 176.0, 88.5)
(179.5, 185.0, 90.5)
(185.0, 192.0, 92.5)
(191.5, 197.0, 94.5)
(198.5, 199.5, 96.5)
(205.0, 200.0, 98.5)
(210.0, 201.0, 100.5)
(214.0, 203.0, 102.5)
(216.5, 205.5, 104.5)
(218.5, 208.0, 106.5)
(219.5, 210.0, 108.5)
(220.5, 211.0, 110.0)
(222.5, 212.0, 111.5)
(224.0, 213.0, 113.0)
(225.5, 215.0, 114.5)
(227.5, 217.5, 116.0)
(230.5, 220.0, 117.5)
(234.5, 223.0, 119.0)
(240.0, 225.5, 120.5)
(246.5, 227.5, 122.0)
(254.0, 228.5, 123.5)
(262.0, 229.5, 125.5)
(269.5, 233.0, 127.5)
(276.0, 238.5, 129.5)
(280.5, 246.5, 131.5)
(282.5, 256.0, 133.0)
(283.5, 266.5, 134.5)
(287.0, 277.0, 136.0)
(292.5, 286.5, 137.5)
(299.0, 294.5, 139.0)
(306.0, 300.0, 140.5)
(313.0, 303.5, 142.5)
(319.0, 304.5, 144.0)
(323.5, 305.5, 145.5)
(326.5, 307.5, 147.0)
(328.5, 310.5, 148.5)
(329.5, 313.5, 150.0)
(330.0, 316.5, 151.5)
(331.0, 319.5, 152.5)
(332.5, 322.5, 153.5)
(334.5, 325.5, 154.5)
(337.5, 328.5, 155.5)
(342.0, 331.5, 157.0)
(348.0, 334.5, 158.5)
(355.0, 337.5, 160.0)
(363.0, 340.5, 161.5)
(371.0, 342.5, 163.0)
(378.5, 343.0, 164.5)
(384.5, 344.5, 166.0)
(388.0, 348.5, 167.5)
(389.0, 355.0, 169.0)
(390.5, 363.5, 170.5)
(394.5, 373.5, 172.0)
(400.5, 384.0, 173.5)
(407.5, 394.5, 175.0)
(415.0, 403.5, 176.5)
(421.5, 411.0, 178.5)
(427.0, 416.0, 180.5)
(431.0, 418.5, 182.5)
(433.5, 420.0, 184.5)
